"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57","triggerDataTransfer_shouldFail_whenDataFlowIsFinite()","","Mon May 18 12:24:13 UTC 2026","passed","Mon May 18 12:24:13 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowIsFinite"
"","50","4.3.3 Verify invalid access token - sub does not match DID document id","","Mon May 18 12:24:06 UTC 2026","passed","Mon May 18 12:24:06 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenIncorrectSub"
"","88","Provider gets 200 when asset selector has a valid criterion","","Mon May 18 12:24:30 UTC 2026","passed","Mon May 18 12:24:30 UTC 2026","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldPass_whenContractDefinitionHasCorrectAssetSelector"
"","5","verifyAgentId_whenNoMembershipCredential_forDsp08(DataspaceProfileContextRegistry)","","Mon May 18 12:25:40 UTC 2026","passed","Mon May 18 12:25:40 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","verifyAgentId_whenNoMembershipCredential_forDsp08"
"","5107","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate()","","Mon May 18 12:26:49 UTC 2026","passed","Mon May 18 12:26:54 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate"
"","8120","transferData_success_withProxyOriginalResponse_withoutSourceResponseBody()","","Mon May 18 12:25:20 UTC 2026","passed","Mon May 18 12:25:28 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_success_withProxyOriginalResponse_withoutSourceResponseBody"
"","7872","Contract policy is fulfilled ""MembershipCredential""","","Mon May 18 12:25:03 UTC 2026","passed","Mon May 18 12:25:11 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","5034","transferData_failing_withProxyOriginalResponse()","","Mon May 18 12:26:54 UTC 2026","passed","Mon May 18 12:26:59 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_failing_withProxyOriginalResponse"
"","32828","shouldTerminateTransfer_whenDataProvisioningEndDatePolicyExpires()","","Mon May 18 12:24:51 UTC 2026","passed","Mon May 18 12:25:24 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyMonitorEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyMonitorEndToEndTest","shouldTerminateTransfer_whenDataProvisioningEndDatePolicyExpires"
"","352","Consumer gets catalog from the provider. No constraints.","","Mon May 18 12:23:57 UTC 2026","passed","Mon May 18 12:23:58 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_fulfillsPolicy_shouldReturnOffer"
